,OrderDate,OrderNumber,Zip,ShipCity,ShipToState,InstallerName,GroupMakeName,MobileInstallerFlag,CPUOrder,ShipWarehouseCode,CustomerMake,CustomerModel,OrderSourceDescrpt,RecommendedInstaller,city,state,latitude,longitude
1,7/1/19,DU40513,35243,VESTAVIA,AL,NA,NA,NA,0,AT,MBZ,GL450,Internet,0,Birmingham,AL,33.437667,-86.74586
2,7/1/19,DU40997,35803,HUNTSVILLE,AL,Firestone Complete Auto Care,BRO-GRP,N,0,AT,MBZ,C250 SEDAN,Internet,1,Huntsville,AL,34.603017,-86.54293
3,7/1/19,DU41093,35242,VESTAVIA,AL,NA,NA,NA,0,AT,FORD,FOCUS SEDAN,Phone,0,Birmingham,AL,33.409582,-86.69684
4,7/1/19,DU41115,35613,ATHENS,AL,NA,NA,NA,0,SB,ISUZ,TROOPER,Phone,0,Athens,AL,34.808165,-86.89623
5,7/1/19,DU41644,36606,MOBILE,AL,Firestone Complete Auto Care,FIRESTO-GRP,N,0,AT,GMC,SIERRA 2500 HD 2WD,Internet,1,Mobile,AL,30.674057,-88.10249
6,7/1/19,DU42065,35806,HUNTSVILLE,AL,NA,NA,NA,0,AT,NISS,370Z COUPE,Internet,0,Huntsville,AL,34.748066,-86.68317
7,7/1/19,DU42791,36116,MONTGOMERY,AL,NA,NA,NA,0,GA,FORD,MUSTANG GT CONVERTIBLE,Internet,0,Montgomery,AL,32.31324,-86.23672
8,7/1/19,DU42813,35474,MOUNDVILLE,AL,NA,NA,NA,0,AT,XXXX,YOU CHOSE NOT TO PROVIDE,Internet,0,Moundville,AL,32.962981,-87.61717
9,7/1/19,DU43629,36605,MOBILE,AL,NA,NA,NA,0,AT,HUM,H2,Phone,0,Mobile,AL,30.641191,-88.08222
